Data,MAV_A5,Avg.Power_A5,SD_A5,MAV_Ratio_A5,MAV_D3,Avg.Power_D3,SD_D3,MAV_Ratio_D3,MAV_D4,Avg.Power_D4,SD_D4,MAV_Ratio_D4,MAV_D5,Avg.Power_D5,SD_D5,MAV_Ratio_D5,label
S0010,0.5149805184253611,0.31536260723411275,0.22395908750586332,0.9954927141813671,0.4726816193974649,0.2505904317032066,0.16481055302072378,1.0388005281671557,0.5286889551446945,0.3157582437402164,0.1903844333138289,1.1184884993383561,0.5173121923336725,0.3145978024736064,0.21676230792399273,0.978481179339356,0
S0011,0.5674908543396172,0.37423621890897696,0.22845207188788716,1.0136367160614346,0.44853895347013245,0.23512358275800355,0.18421832150446368,0.9123609092482206,0.5315356215500543,0.34009800191186584,0.23993308428656332,1.1850378154178498,0.5598562535744045,0.36195728047803144,0.22026859924116185,1.0532807790788548,0
S0012,0.5085825896822203,0.3346800508741195,0.2757241381276691,1.1627340932507753,0.4733439391909635,0.25947020536875465,0.1881906496081464,1.1110847125655325,0.5750280036430121,0.37954331107489686,0.22110202645210844,1.2148206748476518,0.43740231978605154,0.2540969421750444,0.25055169690270535,0.7606626408017494,0
S0013,0.6830978322759838,0.49900550629531293,0.1799523765754844,1.2408811763745795,0.49615137710814233,0.27743103018507254,0.17681866750647815,0.9138911285192836,0.5239500402827686,0.306998597920973,0.18020808308357936,1.0560285921942876,0.5504941530918831,0.36304720893192144,0.24495590693749722,1.0506615340554015,0
S0014,0.46329085557106736,0.2889459665401061,0.27259411160979696,0.8682557162473644,0.5018639246774156,0.281998241004647,0.17358237846056931,0.951065006135689,0.5307657237974657,0.32320851839217957,0.2037063200637918,1.057588915438836,0.5335880281599858,0.35586878439982317,0.26674444812247067,1.005317420164828,0
S0015,0.47635202921216324,0.27359093594033373,0.2160548083375794,0.9329239389047301,0.4740402333545952,0.25756798010853643,0.18125627511801456,0.9887866041791863,0.5797065567355164,0.3816850927810025,0.2136010319704802,1.2229058125154535,0.5106011426520036,0.30800136057454747,0.21745765955011975,0.8807924228549976,0
S0016,0.512894407729021,0.3121561936224583,0.22157508917465224,0.9643495621674986,0.4701892802292552,0.2474708515592253,0.16245889423703513,1.0318398644703901,0.5297422346777019,0.3163976708100798,0.18913179428312554,1.1266574057566983,0.531855281373515,0.3415271375928293,0.24219227334481247,1.0039888205196603,0
S0017,0.6813969607991223,0.4863809642279736,0.1485905314671594,1.3079047496240872,0.4717247522217728,0.25368299154832674,0.17651841175818958,0.8691901679763172,0.5320462873927015,0.31978641776641686,0.19160680008303388,1.1278744328908348,0.5209836274353822,0.32499984570103324,0.23146469632603606,0.9792073354904287,0
S0020,0.591761417993903,0.3793170197882156,0.17069107757015503,1.195211002621296,0.499793408611145,0.27542488630030626,0.16009820426587956,1.0309966521314156,0.6091440986765354,0.39834880585249727,0.16520373149553466,1.2187917811266469,0.4951104170695149,0.2915246104803887,0.21538404163177807,0.8127968704699312,0
S0021,0.47073744006875357,0.2786955177284932,0.2389597879267759,0.930324673721481,0.5748714459833657,0.3627898241857942,0.17975718282947303,1.111494416614868,0.5399934065394049,0.3290389764362311,0.19350994116633952,0.9393289757429175,0.5059926425316783,0.3180031308415556,0.2489469351997826,0.9370348533964082,0
S0022,0.532877980576986,0.34029076750119236,0.23734326473988193,0.9329616271780217,0.49498584355819136,0.26757651951473954,0.15021828847289245,1.0208684590234367,0.5694419806373829,0.35965613595644963,0.18812752760886378,1.1504207404073736,0.5711681649638798,0.3786289747621981,0.22890151177742857,1.0030313612013022,0
S0023,0.473400730009439,0.26804482745634006,0.20961053476118563,0.9405652448266016,0.4599209541701071,0.24382585053000488,0.17971801925589748,0.9384613246967323,0.5091100939758914,0.2911879716739139,0.1788711376543819,1.106951290998564,0.5033151422650249,0.28860388341063925,0.18782372314853374,0.9886174880847268,0
S0024,0.5693093061378597,0.3884603055954041,0.2536675374190257,1.1775604223315734,0.5051120225522586,0.2923229020820304,0.19283346897050038,0.9181010076445317,0.5498299538059709,0.3345961729641208,0.17967524832832363,1.0885307204286268,0.483465048027536,0.2902245834713815,0.23766811062301518,0.8792992172960908,0
S0025,0.5348180161910118,0.3262126793612724,0.20045540381536986,0.9964914204479259,0.5765672655261221,0.35693423806662206,0.1565388973717149,1.1874764360164036,0.6057448595576821,0.4049851846091197,0.1950854933831927,1.0506057068726147,0.5367010746069539,0.35019543358855554,0.24929378272290778,0.8860183724858279,0
S0026,0.6282398760458006,0.4334771312114256,0.19695631332197222,1.2423746784266696,0.4869929861119578,0.2703034117954986,0.18204736546640016,0.9089256131060321,0.5588168436552239,0.3410871209644333,0.16973760989140343,1.147484377786817,0.5056766585434573,0.29478406170698107,0.1976744260426845,0.9049058994639884,0
S0027,0.4638851536229839,0.2449772815062976,0.17259155759908462,0.9479025134491206,0.5003795303914913,0.272607217515836,0.14908904413479446,1.0311444295219845,0.6123097153885888,0.40523745490590735,0.17410992891461646,1.2236905752509992,0.4893806557544098,0.28689131073583035,0.21771055213106721,0.7992371237223228,0
